"","player1","player2","player3","player4","player5","player6","player7","player8","player9","player10","avg_wins","undefeated_chance"
"13",526,941,345,580,329,441,264,367,582,535,10.7950460745946,6.60159817533139e-06
"12",526,941,345,580,329,441,264,367,582,632,10.7890273519651,6.04264369474633e-06
"15",526,941,345,580,329,441,264,367,632,535,10.7863215787547,6.8155414831538e-06
"11",526,941,345,580,329,441,264,367,582,914,10.7787448570889,5.80169940280005e-06
"18",526,941,345,580,329,441,264,632,971,535,10.7643903732604,6.89951648232835e-06
"14",526,941,345,580,329,441,264,367,632,971,10.7569997042789,6.18607156938336e-06
"19",526,941,345,580,329,441,264,632,535,849,10.7437662820954,6.91437074510686e-06
"16",526,941,345,580,329,441,264,367,535,849,10.7433390258022,6.73810233518853e-06
"22",526,941,345,580,329,441,632,971,122,535,10.7323833508616,6.85740473377013e-06
"17",526,941,345,580,329,441,264,632,971,122,10.7264740638697,6.22383913268289e-06
