score_difs,chance_winning
-82.14,8.095207559019928e-15
-82.13,8.145154458647624e-15
-82.12,8.195101358275327e-15
-82.11,8.245048257903028e-15
-82.1,8.295669838814571e-15
-82.09,8.346561141135207e-15
-82.08,8.397452443455847e-15
-82.07,8.448343745776487e-15
-82.06,8.49962004287975e-15
-82.05,8.551468924562703e-15
-82.04,8.603317806245663e-15
-82.03,8.655166687928619e-15
-82.02,8.70710266395808e-15
-82.01,8.759922497107037e-15
-82,8.812742330255996e-15
-81.99,8.865562163404956e-15
-81.98,8.918381996553917e-15
-81.97,8.97196714793381e-15
-81.96,9.025771503152528e-15
-81.95,9.079575858371242e-15
-81.94,9.133380213589962e-15
-81.93,9.187648775653541e-15
-81.92,9.242451425162256e-15
-81.91,9.297254074670968e-15
-81.9,9.352056724179691e-15
-81.89,9.407013896901549e-15
-81.88,9.462828817704923e-15
-81.87,9.5186437385083e-15
-81.86,9.57445865931168e-15
-81.85,9.630273580115054e-15
-81.84,9.686951032150797e-15
-81.83,9.743792409258277e-15
-81.82,9.800633786365763e-15
-81.81,9.857475163473249e-15
-81.8,9.91486605870672e-15
-81.79,9.972748288406253e-15
-81.78,1.0030630518105779e-14
-81.77,1.0088512747805309e-14
-81.76,1.0146622535432532e-14
-81.75,1.0205560228618483e-14
-81.74,1.0264497921804424e-14
-81.73,1.0323435614990377e-14
-81.72,1.0382373308176314e-14
-81.71,1.0442277742945847e-14
-81.7,1.0502285728502191e-14
-81.69,1.0562293714058544e-14
-81.68,1.0622301699614885e-14
-81.67,1.068295101416282e-14
-81.66,1.0744044342402474e-14
-81.65,1.0805137670642125e-14
-81.64,1.0866230998881778e-14
-81.63,1.0927630904243522e-14
-81.62,1.0989824850404798e-14
-81.61,1.1052018796566084e-14
-81.6,1.1114212742727348e-14
-81.59,1.117640668888862e-14
-81.58,1.1239679031778454e-14
-81.57,1.130298909957968e-14
-81.56,1.1366299167380898e-14
-81.55,1.1429609235182126e-14
-81.54,1.1493659367978414e-14
-81.53,1.1558101293231696e-14
-81.52,1.1622543218484974e-14
-81.51,1.1686985143738258e-14
-81.5,1.1751819052605972e-14
-81.49,1.1817408806891143e-14
-81.48,1.1882998561176324e-14
-81.47,1.1948588315461502e-14
-81.46,1.2014212001516061e-14
-81.45,1.2080965795915908e-14
-81.44,1.2147719590315741e-14
-81.43,1.2214473384715583e-14
-81.42,1.2281227179115421e-14
-81.41,1.2348827151971356e-14
-81.4,1.2416761440869045e-14
-81.39,1.2484695729766725e-14
-81.38,1.2552630018664418e-14
-81.37,1.262104851350149e-14
-81.36,1.269017999844154e-14
-81.35,1.2759311483381596e-14
-81.34,1.2828442968321645e-14
-81.33,1.2897686276354584e-14
-81.32,1.2968031909968264e-14
-81.31,1.3038377543581948e-14
-81.3,1.3108723177195628e-14
-81.29,1.3179068810809304e-14
-81.28,1.3250374594562446e-14
-81.27,1.3321951584558812e-14
-81.26,1.3393528574555176e-14
-81.25,1.346510556455154e-14
-81.24,1.3537266254524458e-14
-81.23,1.361009206774823e-14
-81.22,1.3682917880971984e-14
-81.21,1.375574369419575e-14
-81.2,1.3828765886513952e-14
-81.19,1.3902858253071298e-14
-81.18,1.3976950619628646e-14
-81.17,1.405104298618599e-14
-81.16,1.412513535274334e-14
-81.15,1.4200310210340994e-14
-81.14,1.4275687127794555e-14
-81.13,1.4351064045248116e-14
-81.12,1.4426440962701667e-14
-81.11,1.4502508830838104e-14
-81.1,1.4579188568472297e-14
-81.09,1.4655868306106506e-14
-81.08,1.47325480437407e-14
-81.07,1.4809515839059174e-14
-81.06,1.4887516942217235e-14
-81.05,1.49655180453753e-14
-81.04,1.5043519148533357e-14
-81.03,1.5121520251691424e-14
-81.02,1.5200735099132734e-14
-81.01,1.5280076393626488e-14
-81,1.535941768812025e-14
-80.99,1.543875898261401e-14
-80.98,1.5518906751043893e-14
-80.97,1.5599607347637848e-14
-80.96,1.5680307944231807e-14
-80.95,1.5761008540825756e-14
-80.94,1.5842096483852554e-14
-80.93,1.5924175782823317e-14
-80.92,1.6006255081794076e-14
-80.91,1.608833438076484e-14
-80.9,1.617041367973561e-14
-80.89,1.6253847465848727e-14
-80.88,1.6337325161621344e-14
-80.87,1.6420802857393952e-14
-80.86,1.650428055316656e-14
-80.85,1.6588689067435668e-14
-80.84,1.667358515329804e-14
-80.83,1.6758481239160414e-14
-80.82,1.6843377325022767e-14
-80.81,1.6928768175356406e-14
-80.8,1.70151029482533e-14
-80.79,1.7101437721150198e-14
-80.78,1.7187772494047086e-14
-80.77,1.7274153307622825e-14
-80.76,1.7361947373030816e-14
-80.75,1.744974143843881e-14
-80.74,1.7537535503846832e-14
-80.73,1.7625329569254835e-14
-80.72,1.7714188202757073e-14
-80.71,1.7803462479641913e-14
-80.7,1.789273675652672e-14
-80.69,1.798201103341156e-14
-80.68,1.8071896174811114e-14
-80.67,1.8162671900668784e-14
-80.66,1.8253447626526475e-14
-80.65,1.8344223352384164e-14
-80.64,1.8435143002698853e-14
-80.63,1.8527441738682234e-14
-80.62,1.861974047466563e-14
-80.61,1.8712039210649037e-14
-80.6,1.880433794663243e-14
-80.59,1.8897845026267282e-14
-80.58,1.8991688662399426e-14
-80.57,1.9085532298531558e-14
-80.56,1.9179375934663692e-14
-80.55,1.927395580581262e-14
-80.54,1.9369366566288453e-14
-80.53,1.9464777326764304e-14
-80.52,1.9560188087240126e-14
-80.51,1.9655849144107805e-14
-80.5,1.975284959268595e-14
-80.49,1.9849850041264087e-14
-80.48,1.9946850489842225e-14
-80.47,2.004385093842035e-14
-80.46,2.0142214192645414e-14
-80.45,2.0240827238131372e-14
-80.44,2.0339440283617317e-14
-80.43,2.043805332910327e-14
-80.42,2.0537537877052757e-14
-80.41,2.0637786778875433e-14
-80.4,2.0738035680698103e-14
-80.39,2.0838284582520757e-14
-80.38,2.093889923198568e-14
-80.37,2.1040807605868684e-14
-80.36,2.11427159797517e-14
-80.35,2.124462435363472e-14
-80.34,2.134653272751773e-14
-80.33,2.1449969758034056e-14
-80.32,2.1553561581763643e-14
-80.31,2.165715340549321e-14
-80.3,2.1760745229222776e-14
-80.29,2.1865354386768533e-14
-80.28,2.197065400605966e-14
-80.27,2.207595362535077e-14
-80.26,2.218125324464189e-14
-80.25,2.2287043772107003e-14
-80.24,2.239407590656956e-14
-80.23,2.2501108041032125e-14
-80.22,2.2608140175494684e-14
-80.21,2.271517230995725e-14
-80.2,2.2823911088336698e-14
-80.19,2.2932700837543556e-14
-80.18,2.3041490586750398e-14
-80.17,2.3150280335957272e-14
-80.16,2.3260244524276832e-14
-80.15,2.3370817373935405e-14
-80.14,2.3481390223593984e-14
-80.13,2.3591963073252554e-14
-80.12,2.370316237219042e-14
-80.11,2.381554420041984e-14
-80.1,2.3927926028649295e-14
-80.09,2.404030785687871e-14
-80.08,2.4152751992032126e-14
-80.07,2.426696907574781e-14
-80.06,2.438118615946354e-14
-80.05,2.4495403243179214e-14
-80.04,2.4609620326894898e-14
-80.03,2.472518098484916e-14
-80.02,2.4841260006256606e-14
-80.01,2.4957339027664044e-14
-80,2.5073418049071472e-14
-79.99,2.519027015674019e-14
-79.98,2.5308238209940045e-14
-79.97,2.542620626313994e-14
-79.96,2.554417431633984e-14
-79.95,2.566232808270265e-14
-79.94,2.5782212680409297e-14
-79.93,2.5902097278115944e-14
-79.92,2.602198187582262e-14
-79.91,2.6141866473529243e-14
-79.9,2.6263276615113635e-14
-79.89,2.63851056954887e-14
-79.88,2.650693477586378e-14
-79.87,2.6628763856238848e-14
-79.86,2.6751524517908673e-14
-79.85,2.6875326451512255e-14
-79.84,2.6999128385115865e-14
-79.83,2.712293031871947e-14
-79.82,2.7247052218195037e-14
-79.81,2.7372855815056314e-14
-79.8,2.7498659411917575e-14
-79.79,2.7624463008778855e-14
-79.78,2.7750266605640142e-14
-79.77,2.787779140715775e-14
-79.76,2.8005625923967195e-14
-79.75,2.8133460440776644e-14
-79.74,2.826129495758609e-14
-79.73,2.8390232220870018e-14
-79.72,2.85201273682956e-14
-79.71,2.865002251572116e-14
-79.7,2.877991766314675e-14
-79.69,2.8910278641414964e-14
-79.68,2.9042264591544305e-14
-79.67,2.917425054167366e-14
-79.66,2.9306236491802987e-14
-79.65,2.943822244193233e-14
-79.64,2.957213986055296e-14
-79.63,2.970624725446397e-14
-79.62,2.9840354648374997e-14
-79.61,2.9974462042285995e-14
-79.6,3.010985688326103e-14
-79.59,3.024611683872319e-14
-79.58,3.0382376794185376e-14
-79.57,3.051863674964753e-14
