"","p_distribution"
"1",25.858
"2",31.162
"3",31.479
"4",25.87
"5",30.036
"6",28.999
"7",27.462
"8",30.425
"9",29.671
"10",28.753
"11",28.883
"12",27.968
"13",29.966
"14",28.906
"15",28.164
"16",22.985
"17",27.025
"18",25.378
"19",27.143
"20",27.314
"21",24.693
"22",28.195
"23",25.36
"24",27.338
"25",25.838
"26",32.003
"27",31.255
"28",26.478
"29",31.638
"30",28.859
"31",27.695
"32",29.785
"33",25.929
"34",29.355
"35",26.54
"36",28.437
"37",27.746
"38",24.858
"39",35.142
"40",26.415
"41",27.798
"42",27.614
"43",29.218
"44",25.082
"45",28.191
"46",27.33
"47",29.407
"48",25.815
"49",27.048
"50",27.625
"51",27.35
"52",31.392
"53",28.502
"54",32.499
"55",28.667
"56",29.259
"57",27.243
"58",29.963
"59",26.943
"60",29.517
"61",29.111
"62",26.69
"63",30.094
"64",28.716
"65",28.836
"66",29.491
"67",27.163
"68",31.48
"69",28.891
"70",28.234
"71",30.57
"72",29.398
"73",29.288
"74",25.138
"75",30.509
"76",26.524
"77",26.229
"78",27.875
"79",31.014
"80",21.371
"81",30.244
"82",25.686
"83",24.139
"84",28.758
"85",27.585
"86",29.297
"87",26.893
"88",28.666
"89",31.484
"90",26.756
"91",25.363
"92",25.29
"93",26.067
"94",27.63
"95",27.238
"96",24.963
"97",24.443
"98",29.875
"99",24.793
"100",24.45
"101",29.764
"102",28.308
"103",22.236
"104",30.635
"105",25.909
"106",29.333
"107",30.699
"108",29.299
"109",29.402
"110",27.779
"111",28.761
"112",27.543
"113",28.393
"114",25.749
"115",25.761
"116",22.665
"117",24.096
"118",28.676
"119",29.326
"120",29.125
"121",28
"122",24.866
"123",26.462
"124",29.636
"125",29.372
"126",29.446
"127",26.438
"128",28.371
"129",29.067
"130",29.477
"131",27.252
"132",26.003
"133",23.989
"134",26.986
"135",24.489
"136",30.73
"137",30.873
"138",27.443
"139",30.982
"140",25.964
"141",25.13
"142",28.788
"143",26.686
"144",29.903
"145",27.918
"146",28.648
"147",28.781
"148",27.766
"149",30.44
"150",31.729
"151",28.629
"152",29.785
"153",31.566
"154",28.504
"155",29.291
"156",27.244
"157",26.289
"158",27.739
"159",26.487
"160",30.617
"161",27.233
"162",27.452
"163",28.972
"164",30.251
"165",30.003
"166",28.78
"167",28.268
"168",25.809
"169",30.547
"170",26.487
"171",32.763
"172",31.961
"173",25.082
"174",30.538
"175",28.044
"176",26.36
"177",25.823
"178",27.085
"179",27.051
"180",25.116
"181",29.35
"182",30.012
"183",29.701
"184",28
"185",28.493
"186",27.415
"187",27.621
"188",27.641
"189",27.411
"190",28.447
"191",25.516
"192",31.108
"193",23.96
"194",28.701
"195",24.428
"196",27.8
"197",29.702
"198",22.85
"199",26.808
"200",23.709
"201",28.524
"202",28.92
"203",28.288
"204",31.834
"205",30.022
"206",25.463
"207",21.92
"208",30.643
"209",26.623
"210",28.228
"211",26.977
"212",29.142
"213",25.425
"214",31.315
"215",25.618
"216",30.023
"217",27.503
"218",28.993
"219",28.34
"220",28.799
"221",29.723
"222",29.543
"223",25.568
"224",25.727
"225",26.613
"226",27.613
"227",21.064
"228",29.394
"229",27.844
"230",23.987
"231",30.248
"232",29.848
"233",28.725
"234",26.832
"235",30.074
"236",32.416
"237",26.876
"238",28.339
"239",26.682
"240",27.876
"241",26.728
"242",26.551
"243",25.164
"244",28.535
"245",27.958
"246",24.645
"247",26.777
"248",28.937
"249",29.291
"250",26.464
"251",35.529
"252",30.014
"253",30.65
"254",27.129
"255",28.271
"256",25.89
"257",27.839
"258",27.805
"259",31.43
"260",25.998
"261",29.023
"262",25.695
"263",26.722
"264",30.141
"265",30.668
"266",31.572
"267",28.278
"268",28.41
"269",32.702
"270",24.802
"271",28.578
"272",27.351
"273",27.101
"274",25.255
"275",23.018
"276",26.139
"277",28.958
"278",25.068
"279",27.061
"280",26.426
"281",34.05
"282",27.944
"283",27.44
"284",29.323
"285",26.96
"286",30.928
"287",26.846
"288",26.871
"289",28.151
"290",26.135
"291",26.985
"292",26.206
"293",26.584
"294",28.055
"295",27.795
"296",27.024
"297",29.062
"298",26.819
"299",27.911
"300",27.238
"301",27.316
"302",26.155
"303",29.467
"304",27.515
"305",24.064
"306",26.816
"307",29.912
"308",26.458
"309",28.893
"310",23.814
"311",26.592
"312",25.333
"313",27.355
"314",28.877
"315",29.517
"316",29.452
"317",30.231
"318",29.916
"319",27.003
"320",31.315
"321",26.7
"322",29.744
"323",27.257
"324",27.49
"325",27.331
"326",28.144
"327",24.086
"328",31.644
"329",29.168
"330",25.972
"331",28.254
"332",26.91
"333",29.336
"334",29.802
"335",27.413
"336",29.757
"337",24.868
"338",26.535
"339",28.293
"340",25.156
"341",26.703
"342",29.558
"343",27.619
"344",28.441
"345",25.025
"346",29.901
"347",26.243
"348",27.374
"349",27.354
"350",30.232
"351",26.601
"352",25.896
"353",24.305
"354",29.937
"355",30.013
"356",31.801
"357",25.421
"358",25.167
"359",27.989
"360",20.689
"361",26.573
"362",28.932
"363",31.453
"364",29.029
"365",30.171
"366",24.71
"367",23.78
"368",31.923
"369",30.465
"370",28.815
"371",31.322
"372",29.389
"373",28.543
"374",21.857
"375",25.748
"376",24.361
"377",29.859
"378",26.512
"379",29.039
"380",30.013
"381",29.567
"382",26.837
"383",27.876
"384",25.974
"385",27.604
"386",27.499
"387",27.651
"388",25.9
"389",30.888
"390",29.19
"391",33.814
"392",24.695
"393",30.982
"394",28.687
"395",27.293
"396",30.318
"397",30.515
"398",29.354
"399",30.454
"400",28.79
"401",29.714
"402",30.558
"403",30.944
"404",22.51
"405",29.741
"406",25.309
"407",26.905
"408",25.263
"409",29.156
"410",30.3
"411",28.856
"412",29.354
"413",26.716
"414",22.884
"415",29.755
"416",29.303
"417",27.787
"418",24.448
"419",28.717
"420",29.609
"421",30.214
"422",27.811
"423",30.578
"424",29.404
"425",31.079
"426",30.177
"427",27.995
"428",26.481
"429",23.499
"430",24.899
"431",28.894
"432",29.43
"433",28.832
"434",36.393
"435",29.794
"436",28.509
"437",29.424
"438",28.564
"439",29.124
"440",28.46
"441",24.774
"442",30.985
"443",28.744
"444",31.245
"445",29.9
"446",28.142
"447",29.917
"448",23.992
"449",29.246
"450",28.081
"451",30.376
"452",26.843
"453",29.136
"454",23.898
"455",27.906
"456",28.654
"457",26.668
"458",32.162
"459",34.718
"460",33.88
"461",24.203
"462",29.546
"463",29.824
"464",28.244
"465",23.203
"466",29.578
"467",26.346
"468",28.253
"469",26.194
"470",25.507
"471",26.915
"472",28.041
"473",28.433
"474",29.471
"475",26.249
"476",29.342
"477",29.537
"478",30.743
"479",25.843
"480",26.489
"481",28.751
"482",32.061
"483",22.752
"484",26.718
"485",28.968
"486",24.369
"487",25.577
"488",30.336
"489",27.262
"490",26.512
"491",29.18
"492",25.171
"493",28.335
"494",27.734
"495",28.163
"496",29.364
"497",29.302
"498",26.857
"499",29.226
"500",29.003
"501",30.503
"502",26.043
"503",31.353
"504",29.397
"505",29.524
"506",34.64
"507",31.407
"508",27.46
"509",30.383
"510",30.521
"511",28.409
"512",29.604
"513",29.606
"514",30.527
"515",26.06
"516",27.582
"517",28.602
"518",27.427
"519",24.998
"520",26.494
"521",30.316
"522",27.344
"523",30.902
"524",30.971
"525",27.963
"526",32.139
"527",32.169
"528",30.287
"529",28.696
"530",25.712
"531",26.713
"532",29.312
"533",26.812
"534",29.187
"535",30.359
"536",25.862
"537",28.058
"538",27.408
"539",26.717
"540",26.739
"541",23.416
"542",30.215
"543",28.658
"544",23.882
"545",29.036
"546",27.876
"547",24.284
"548",28.636
"549",26.76
"550",27.406
"551",24.629
"552",27.026
"553",29.238
"554",25.783
"555",31.773
"556",25.485
"557",29.885
"558",29.028
"559",29.739
"560",25.441
"561",29.245
"562",25.593
"563",28.597
"564",29.455
"565",29.508
"566",28.24
"567",30.427
"568",26.889
"569",28.717
"570",30.403
"571",23.742
"572",27.98
"573",25.01
"574",25.068
"575",27.126
"576",28.24
"577",31.134
"578",23.552
"579",29.094
"580",28.366
"581",26.66
"582",29.548
"583",28.563
"584",24.53
"585",29.442
"586",30.067
"587",30.125
"588",24.295
"589",25.035
"590",30.464
"591",27.198
"592",24.995
"593",27.753
"594",31.673
"595",26.002
"596",28.462
"597",27.102
"598",28.087
"599",28.331
"600",30.149
"601",28.498
"602",25.494
"603",27.037
"604",31.244
"605",28.444
"606",26.113
"607",25.639
"608",26.763
"609",28.281
"610",28.181
"611",31.551
"612",25.286
"613",26.198
"614",28.161
"615",28.885
"616",27.846
"617",26.139
"618",29.566
"619",27.876
"620",28.721
"621",25.552
"622",29.689
"623",23.12
"624",25.406
"625",24.952
"626",28.23
"627",30.553
"628",26.72
"629",30.737
"630",24.877
"631",30.118
"632",29.406
"633",22.999
"634",31.017
"635",30.047
"636",28.062
"637",29.27
"638",26.298
"639",24.766
"640",27.985
"641",30.739
"642",24.617
"643",29.065
"644",29.094
"645",26.579
"646",27.937
"647",26.989
"648",25.961
"649",25.68
"650",27.614
"651",28.315
"652",30.087
"653",27.733
"654",28.079
"655",24.93
"656",25.223
"657",32.026
"658",24.77
"659",28.186
"660",28.998
"661",26.17
"662",26.648
"663",29.988
"664",29.981
"665",27.646
"666",27.145
"667",23.785
"668",28.511
"669",25.482
"670",30.809
"671",26.832
"672",23.467
"673",25.526
"674",28.972
"675",27.597
"676",26.911
"677",28.564
"678",29.644
"679",24.255
"680",27.767
"681",29.414
"682",27.597
"683",27.267
"684",28.384
"685",28.915
"686",26.812
"687",27.583
"688",29.186
"689",28.624
"690",27.251
"691",27.593
"692",29.789
"693",23.03
"694",29.882
"695",22.466
"696",21.855
"697",29.306
"698",23.156
"699",30.8
"700",27.061
"701",30.418
"702",29.648
"703",28.954
"704",31.327
"705",26.85
"706",29.443
"707",26.448
"708",27.925
"709",28.368
"710",24.85
"711",30.09
"712",30.704
"713",24.991
"714",30.771
"715",23.675
"716",28.749
"717",26.947
"718",27.892
"719",28.581
"720",29.297
"721",32.137
"722",29.159
"723",24.056
"724",27.521
"725",27.443
"726",29.139
"727",27.383
"728",28.921
"729",30.123
"730",28.231
"731",23.836
"732",27.194
"733",25.091
"734",24.437
"735",28.747
"736",30.384
"737",25.694
"738",28.811
"739",24.614
"740",31.67
"741",27.697
"742",22.064
"743",28.391
"744",28.547
"745",27.932
"746",25.855
"747",30.023
"748",25.794
"749",30.723
"750",30.519
"751",24.82
"752",29.898
"753",24.208
"754",31.061
"755",28.622
"756",32.196
"757",27.85
"758",26.248
"759",30.313
"760",28.866
"761",26.904
"762",26.651
"763",25.449
"764",27.464
"765",24.498
"766",30.692
"767",27.846
"768",26.405
"769",28.9
"770",30.103
"771",26.088
"772",27.712
"773",26.144
"774",32.917
"775",26.602
"776",27.559
"777",28.505
"778",24.492
"779",26.466
"780",29.47
"781",29.429
"782",28.761
"783",24.838
"784",30.236
"785",29.963
"786",28.049
"787",24.082
"788",28.836
"789",28.442
"790",29.158
"791",26.55
"792",25.095
"793",25.009
"794",29.954
"795",24.243
"796",26.163
"797",28.903
"798",29.887
"799",24.755
"800",29.338
"801",26.78
"802",30.059
"803",28.646
"804",25.302
"805",30.342
"806",27.105
"807",29.519
"808",28.329
"809",29.851
"810",28.979
"811",29.836
"812",29.89
"813",29.003
"814",24.419
"815",26.876
"816",24.342
"817",24.721
"818",29.798
"819",28.79
"820",32.526
"821",29.75
"822",27.733
"823",22.176
"824",22.93
"825",31.317
"826",27.888
"827",29.176
"828",26.699
"829",28.164
"830",21.323
"831",28.929
"832",26.887
"833",27.415
"834",24.75
"835",31.619
"836",23.393
"837",27.823
"838",27.531
"839",31.257
"840",24.294
"841",29.802
"842",27.128
"843",30.068
"844",23.509
"845",28.367
"846",25.637
"847",29.952
"848",24.929
"849",29.387
"850",29.681
"851",28.926
"852",28.95
"853",29.63
"854",25.782
"855",31.465
"856",27.745
"857",28.509
"858",26.579
"859",26.786
"860",28.143
"861",27.844
"862",27.653
"863",23.773
"864",25.049
"865",28.556
"866",30.961
"867",27.071
"868",30.059
"869",28.49
"870",21.631
"871",29.598
"872",27.545
"873",30.597
"874",28.174
"875",25.489
"876",30.166
"877",30.023
"878",27.616
"879",28.462
"880",31.133
"881",31.498
"882",30.929
"883",27.325
"884",28.256
"885",29.802
"886",29.402
"887",27.374
"888",28.082
"889",28.457
"890",29.65
"891",28.672
"892",29.357
"893",28.198
"894",26.456
"895",28.12
"896",27.591
"897",24.939
"898",29.162
"899",27.905
"900",25.095
"901",27.629
"902",28.46
"903",27.824
"904",30.883
"905",28.374
"906",31.566
"907",27.992
"908",29.439
"909",28.781
"910",29.346
"911",29.205
"912",24.388
"913",26.79
"914",31.087
"915",29.872
"916",30.218
"917",27.099
"918",26.878
"919",26.487
"920",29.707
"921",30.609
"922",25.918
"923",27.281
"924",25.855
"925",27.55
"926",28.694
"927",23.234
"928",28.253
"929",23.03
"930",29.206
"931",28.624
"932",29.309
"933",31.748
"934",26.826
"935",26.952
"936",29.049
"937",24.312
"938",28.023
"939",26.775
"940",25.298
"941",22.454
"942",30.039
"943",28.508
"944",25.626
"945",30.911
"946",26.07
"947",31.845
"948",30.659
"949",28.676
"950",29.871
"951",27.663
"952",28.803
"953",24.077
"954",24.888
"955",30.438
"956",28.796
"957",29.411
"958",25.235
"959",27.072
"960",28.001
"961",28.028
"962",26.522
"963",27.097
"964",28.318
"965",22.967
"966",28.109
"967",28.555
"968",26.145
"969",28.388
"970",28.431
"971",23.999
"972",31.462
"973",26.367
"974",29.092
"975",27.15
"976",28.791
"977",29.512
"978",31.181
"979",26.114
"980",24.25
"981",24.187
"982",27.782
"983",27.106
"984",28.948
"985",27.316
"986",29.993
"987",29.647
"988",27.901
"989",28.469
"990",30.048
"991",28.435
"992",28.325
"993",31.75
