"student label","game score","coast","game scheduled","percent training sessions attended","overall fitness score","# extra strategy sessions attended","hours of sleep the night before game","early bird/night owl","previous competitive sports","# meals on day prior to game","university year","game","curling","gymnastics","baseball","martial_arts","frisbee","table_tennis","basketball","football","evening","morning","west coast","night_owl"
1,10.95,"east coast","noon",0.39,0.38,5,5,"night owl","curling",4,1,1,1,0,0,0,0,0,0,0,0,0,0,1
2,35.08,"east coast","noon",0.75,0.51,9,10,"night owl","curling",3,4,1,1,0,0,0,0,0,0,0,0,0,0,1
3,9.47,"east coast","noon",0.68,0.17,3,5,"night owl","gymnastics",5,2,1,0,1,0,0,0,0,0,0,0,0,0,1
4,32.55,"east coast","noon",0.68,0.84,3,12,"night owl","baseball",6,2,1,0,0,1,0,0,0,0,0,0,0,0,1
5,49.35,"east coast","noon",0.93,0.69,9,5,"night owl","martial arts",4,3,1,0,0,0,1,0,0,0,0,0,0,0,1
6,17.9,"east coast","noon",0.51,0.33,4,5,"night owl","martial arts",6,2,1,0,0,0,1,0,0,0,0,0,0,0,1
7,21.01,"east coast","noon",0.62,0.05,8,2,"night owl","gymnastics",3,2,1,0,1,0,0,0,0,0,0,0,0,0,1
8,8.46,"east coast","noon",0.19,0.54,7,12,"night owl","frisbee",1,3,1,0,0,0,0,1,0,0,0,0,0,0,1
9,12.38,"east coast","noon",0.45,0.62,2,9,"night owl","table tennis",4,3,1,0,0,0,0,0,1,0,0,0,0,0,1
10,8.64,"east coast","noon",0.37,0.35,6,2,"night owl","basketball",3,1,1,0,0,0,0,0,0,1,0,0,0,0,1
11,71.13,"east coast","evening",0.59,0.89,9,11,"night owl","martial arts",2,4,1,0,0,0,1,0,0,0,0,1,0,0,1
12,41.87,"east coast","evening",0.66,0.35,3,4,"early bird","curling",5,2,1,1,0,0,0,0,0,0,0,1,0,0,0
13,61.59,"east coast","evening",0.6,0.69,8,7,"night owl","basketball",3,1,1,0,0,0,0,0,0,1,0,1,0,0,1
14,35.22,"east coast","evening",0.39,0.06,6,3,"night owl","gymnastics",4,2,1,0,1,0,0,0,0,0,0,1,0,0,1
15,64.33,"east coast","evening",0.95,0.39,10,10,"night owl","table tennis",5,1,1,0,0,0,0,0,1,0,0,1,0,0,1
16,37.63,"east coast","evening",0.03,0.02,3,5,"night owl","football",3,1,1,0,0,0,0,0,0,0,1,1,0,0,1
17,51.37,"east coast","evening",0.92,0.53,8,3,"early bird","curling",5,2,1,1,0,0,0,0,0,0,0,1,0,0,0
18,36.2,"east coast","evening",0.34,0.47,2,3,"night owl","table tennis",4,3,1,0,0,0,0,0,1,0,0,1,0,0,1
19,53.03,"east coast","evening",0.38,0.45,7,5,"night owl","martial arts",2,3,1,0,0,0,1,0,0,0,0,1,0,0,1
20,46.7,"east coast","evening",0.41,0.57,4,6,"night owl","martial arts",3,2,1,0,0,0,1,0,0,0,0,1,0,0,1
21,36.72,"east coast","evening",0.17,0.22,8,11,"night owl","curling",2,2,1,1,0,0,0,0,0,0,0,1,0,0,1
22,53.33,"east coast","evening",0.97,0.75,8,10,"early bird","baseball",6,1,1,0,0,1,0,0,0,0,0,1,0,0,0
23,30.5,"east coast","evening",0.18,0.66,1,1,"night owl","martial arts",2,3,1,0,0,0,1,0,0,0,0,1,0,0,1
24,27,"east coast","evening",0.78,0.26,6,1,"night owl","gymnastics",5,3,1,0,1,0,0,0,0,0,0,1,0,0,1
25,64.8,"east coast","evening",0.95,0.73,9,10,"night owl","football",5,3,1,0,0,0,0,0,0,0,1,1,0,0,1
26,12.36,"east coast","evening",0.05,0.41,0,1,"night owl","martial arts",3,2,1,0,0,0,1,0,0,0,0,1,0,0,1
27,59.75,"east coast","evening",0.6,0.51,9,1,"night owl","martial arts",2,3,1,0,0,0,1,0,0,0,0,1,0,0,1
28,45.25,"east coast","evening",0.71,0.84,6,8,"early bird","table tennis",4,4,1,0,0,0,0,0,1,0,0,1,0,0,0
29,41.55,"east coast","evening",0.59,0.54,8,11,"night owl","baseball",3,3,1,0,0,1,0,0,0,0,0,1,0,0,1
30,31.82,"east coast","evening",0.11,0.11,7,9,"night owl","football",2,3,1,0,0,0,0,0,0,0,1,1,0,0,1
31,67.7,"east coast","noon",0.96,0.97,6,10,"night owl","curling",4,4,1,1,0,0,0,0,0,0,0,0,0,0,1
32,47.93,"east coast","noon",0.97,0.4,10,7,"night owl","football",5,2,1,0,0,0,0,0,0,0,1,0,0,0,1
33,47.37,"east coast","noon",0.82,0.58,6,7,"night owl","football",5,3,1,0,0,0,0,0,0,0,1,0,0,0,1
34,49.5,"east coast","noon",0.95,0.63,7,2,"night owl","football",3,3,1,0,0,0,0,0,0,0,1,0,0,0,1
35,22.2,"east coast","noon",0.01,0.3,0,0,"night owl","martial arts",4,1,1,0,0,0,1,0,0,0,0,0,0,0,1
36,60.65,"east coast","noon",0.89,0.77,8,11,"early bird","table tennis",5,3,1,0,0,0,0,0,1,0,0,0,0,0,0
37,57.48,"east coast","noon",0.91,0.27,10,10,"night owl","football",3,3,1,0,0,0,0,0,0,0,1,0,0,0,1
38,36.25,"east coast","noon",0.51,0.29,6,5,"early bird","martial arts",5,1,1,0,0,0,1,0,0,0,0,0,0,0,0
39,65.32,"east coast","noon",0.77,0.87,10,11,"night owl","martial arts",2,4,1,0,0,0,1,0,0,0,0,0,0,0,1
40,26.54,"east coast","noon",0.11,0.28,1,4,"night owl","martial arts",4,2,1,0,0,0,1,0,0,0,0,0,0,0,1
41,41.72,"east coast","evening",0.89,0.73,3,5,"early bird","martial arts",6,2,1,0,0,0,1,0,0,0,0,1,0,0,0
42,48.61,"east coast","evening",0.88,0.39,7,2,"night owl","curling",5,2,1,1,0,0,0,0,0,0,0,1,0,0,1
43,47.92,"east coast","evening",0.58,0.68,3,4,"night owl","basketball",4,2,1,0,0,0,0,0,0,1,0,1,0,0,1
44,30.7,"east coast","evening",0.26,0.54,1,2,"night owl","frisbee",5,1,1,0,0,0,0,1,0,0,0,1,0,0,1
45,29.02,"east coast","evening",0.19,0.36,5,7,"night owl","frisbee",3,1,1,0,0,0,0,1,0,0,0,1,0,0,1
46,74.8,"east coast","evening",0.94,0.94,9,10,"night owl","football",3,4,1,0,0,0,0,0,0,0,1,1,0,0,1
47,22.51,"east coast","evening",0.41,0.1,5,5,"night owl","gymnastics",6,3,1,0,1,0,0,0,0,0,0,1,0,0,1
48,0,"east coast","evening",0.18,0.19,6,1,"early bird","table tennis",3,1,1,0,0,0,0,0,1,0,0,1,0,0,0
49,28.15,"east coast","evening",0.27,0.86,1,11,"night owl","baseball",3,4,1,0,0,1,0,0,0,0,0,1,0,0,1
50,20.9,"east coast","evening",0.1,0.05,2,2,"night owl","baseball",5,1,1,0,0,1,0,0,0,0,0,1,0,0,1
51,19.07,"east coast","noon",0.09,0.09,5,5,"night owl","curling",2,1,1,1,0,0,0,0,0,0,0,0,0,0,1
52,52.44,"east coast","noon",0.87,0.74,6,2,"night owl","frisbee",4,3,1,0,0,0,0,1,0,0,0,0,0,0,1
53,26.82,"east coast","noon",0.27,0.12,3,10,"night owl","table tennis",4,1,1,0,0,0,0,0,1,0,0,0,0,0,1
54,43.86,"east coast","noon",0.95,0.33,10,5,"night owl","table tennis",5,2,1,0,0,0,0,0,1,0,0,0,0,0,1
55,51.01,"east coast","noon",0.81,0.72,5,7,"night owl","martial arts",5,2,1,0,0,0,1,0,0,0,0,0,0,0,1
56,23.46,"east coast","noon",0.79,0.18,5,2,"night owl","football",6,2,1,0,0,0,0,0,0,0,1,0,0,0,1
57,21.54,"east coast","noon",0.2,0.72,0,2,"night owl","football",6,3,1,0,0,0,0,0,0,0,1,0,0,0,1
58,21.91,"east coast","noon",0.16,0.01,7,4,"night owl","football",3,1,1,0,0,0,0,0,0,0,1,0,0,0,1
59,42.49,"east coast","noon",0.78,0.76,5,2,"night owl","baseball",3,4,1,0,0,1,0,0,0,0,0,0,0,0,1
60,44.49,"east coast","noon",0.76,0.51,7,1,"night owl","martial arts",3,4,1,0,0,0,1,0,0,0,0,0,0,0,1
61,44.37,"east coast","morning",0.35,0.79,1,7,"early bird","frisbee",3,3,1,0,0,0,0,1,0,0,0,0,1,0,0
62,42.7,"east coast","morning",0.3,0.72,4,5,"early bird","basketball",2,2,1,0,0,0,0,0,0,1,0,0,1,0,0
63,29.64,"east coast","morning",0.44,0.74,6,11,"night owl","curling",3,3,1,1,0,0,0,0,0,0,0,0,1,0,1
64,58.89,"east coast","morning",0.72,0.72,9,11,"night owl","martial arts",2,3,1,0,0,0,1,0,0,0,0,0,1,0,1
65,42.88,"east coast","morning",0.85,0.57,4,3,"night owl","football",4,3,1,0,0,0,0,0,0,0,1,0,1,0,1
66,36,"east coast","morning",0.03,0.11,6,7,"night owl","table tennis",1,3,1,0,0,0,0,0,1,0,0,0,1,0,1
67,30.57,"east coast","morning",0.36,0.27,2,3,"night owl","football",6,1,1,0,0,0,0,0,0,0,1,0,1,0,1
68,34.85,"east coast","morning",0.76,0.35,6,10,"night owl","gymnastics",4,2,1,0,1,0,0,0,0,0,0,0,1,0,1
69,49.92,"east coast","morning",0.84,0.66,8,9,"night owl","football",5,3,1,0,0,0,0,0,0,0,1,0,1,0,1
70,25.71,"east coast","morning",0.42,0,8,1,"night owl","gymnastics",3,2,1,0,1,0,0,0,0,0,0,0,1,0,1
71,35.39,"east coast","evening",0.53,0.15,9,3,"night owl","curling",1,3,1,1,0,0,0,0,0,0,0,1,0,0,1
72,8.5,"east coast","evening",0.29,0.49,4,3,"early bird","curling",3,3,1,1,0,0,0,0,0,0,0,1,0,0,0
73,14.41,"east coast","evening",0.48,0.49,5,4,"night owl","table tennis",4,2,1,0,0,0,0,0,1,0,0,1,0,0,1
74,31.88,"east coast","evening",0.95,0.43,9,10,"early bird","football",5,2,1,0,0,0,0,0,0,0,1,1,0,0,0
75,4.95,"east coast","evening",0.68,0.27,2,0,"night owl","football",5,2,1,0,0,0,0,0,0,0,1,1,0,0,1
76,15.73,"east coast","evening",0.78,0.14,5,0,"night owl","baseball",4,2,1,0,0,1,0,0,0,0,0,1,0,0,1
77,52.65,"east coast","evening",0.77,0.34,10,9,"night owl","baseball",2,4,1,0,0,1,0,0,0,0,0,1,0,0,1
78,4.92,"east coast","evening",0.45,0.57,2,3,"night owl","curling",6,3,1,1,0,0,0,0,0,0,0,1,0,0,1
79,7,"east coast","evening",0.05,0.2,1,3,"night owl","football",3,3,1,0,0,0,0,0,0,0,1,1,0,0,1
80,19.69,"east coast","evening",0.51,0.49,7,8,"night owl","curling",5,1,1,1,0,0,0,0,0,0,0,1,0,0,1
81,53.41,"east coast","morning",0.95,0.84,9,2,"night owl","curling",3,4,1,1,0,0,0,0,0,0,0,0,1,0,1
82,51.6,"east coast","morning",0.8,0.72,4,4,"night owl","martial arts",4,2,1,0,0,0,1,0,0,0,0,0,1,0,1
83,55.21,"east coast","morning",0.98,0.77,7,4,"night owl","martial arts",6,2,1,0,0,0,1,0,0,0,0,0,1,0,1
84,44.13,"east coast","morning",0.77,0.77,3,4,"night owl","martial arts",4,2,1,0,0,0,1,0,0,0,0,0,1,0,1
85,57.14,"east coast","morning",0.86,0.71,9,11,"night owl","curling",4,3,1,1,0,0,0,0,0,0,0,0,1,0,1
86,49.62,"east coast","morning",0.85,0.24,10,11,"night owl","martial arts",3,2,1,0,0,0,1,0,0,0,0,0,1,0,1
87,41.31,"east coast","morning",0.69,0.48,8,7,"night owl","baseball",4,3,1,0,0,1,0,0,0,0,0,0,1,0,1
88,0,"east coast","morning",0.02,0.27,1,3,"night owl","football",3,4,1,0,0,0,0,0,0,0,1,0,1,0,1
89,36.87,"east coast","morning",0.46,0.71,5,7,"night owl","basketball",3,2,1,0,0,0,0,0,0,1,0,0,1,0,1
90,75.21,"east coast","morning",0.78,0.98,8,11,"night owl","frisbee",2,4,1,0,0,0,0,1,0,0,0,0,1,0,1
91,43.3,"east coast","morning",0.75,0.36,8,6,"night owl","baseball",6,2,1,0,0,1,0,0,0,0,0,0,1,0,1
92,80.92,"east coast","morning",0.84,1,4,12,"early bird","basketball",3,4,1,0,0,0,0,0,0,1,0,0,1,0,0
93,69.13,"east coast","morning",0.03,0.02,0,1,"night owl","curling",6,1,1,1,0,0,0,0,0,0,0,0,1,0,1
94,42.06,"east coast","morning",0.84,0.52,6,3,"night owl","football",6,3,1,0,0,0,0,0,0,0,1,0,1,0,1
95,26.32,"east coast","morning",0.51,0.63,5,10,"night owl","curling",3,3,1,1,0,0,0,0,0,0,0,0,1,0,1
96,40.54,"east coast","morning",0.45,0.51,7,6,"night owl","martial arts",3,2,1,0,0,0,1,0,0,0,0,0,1,0,1
97,52.01,"east coast","morning",0.93,0.46,6,2,"night owl","martial arts",4,1,1,0,0,0,1,0,0,0,0,0,1,0,1
98,49.1,"east coast","morning",0.62,0.77,5,10,"early bird","curling",4,3,1,1,0,0,0,0,0,0,0,0,1,0,0
99,42.1,"east coast","morning",0.33,0.87,8,12,"night owl","table tennis",1,4,1,0,0,0,0,0,1,0,0,0,1,0,1
